movie_code,imdb_score,imdb_score_class
171,6.9,Good
172,6.4,Good
173,7.4,Good
174,5.5,Fair
175,5.9,Fair
176,6.8,Good
177,7.5,Good
178,6.8,Good
179,8.1,Excellent
180,6.5,Good
181,7.2,Good
182,6.7,Good
183,8.1,Excellent
184,7.6,Good
185,7.4,Good
186,7.6,Good
187,5.5,Fair
188,6.7,Good
189,6.5,Good
190,6.6,Good
191,6.7,Good
192,6.4,Good
193,5.8,Fair
194,7.4,Good
195,7.8,Good
196,6.6,Good
197,4.9,Fair
198,6.5,Good
199,7.5,Good
200,6.2,Good
201,7.3,Good
202,7.5,Good
203,5.6,Fair
204,8.2,Excellent
205,8.1,Excellent
206,6.4,Good
207,6.7,Good
208,6.6,Good
209,6.4,Good
210,7.5,Good
211,7.3,Good
212,7.5,Good
213,5.8,Fair
214,7.5,Good
215,6.6,Good
216,6.7,Good
217,3.7,Bad
218,6,Fair
219,6.4,Good
220,6.1,Good
221,6.4,Good
222,5.6,Fair
223,8,Good
224,5.2,Fair
225,7.1,Good
226,4.8,Fair
227,7,Good
228,5.4,Fair
229,6.6,Good
230,6.7,Good
231,6.2,Good
232,6.1,Good
233,5.3,Fair
234,6.3,Good
235,7,Good
236,7.6,Good
237,6.7,Good
238,8.1,Excellent
239,6.7,Good
240,6.5,Good
241,7.3,Good
242,5.1,Fair
243,6,Fair
244,6.1,Good
245,5.9,Fair
246,7.8,Good
247,5.8,Fair
248,6.3,Good
249,4.3,Fair
250,6.4,Good
251,6.1,Good
252,6.5,Good
253,7.1,Good
254,6.4,Good
255,6.5,Good
256,6.3,Good
257,7.5,Good
258,4.9,Fair
259,5.8,Fair
260,7.6,Good
261,6.2,Good
262,5.5,Fair
263,5.4,Fair
264,5.8,Fair
265,7.1,Good
266,5.4,Fair
267,3.7,Bad
268,6.7,Good
269,7.2,Good
270,8.8,Excellent
271,5.8,Fair
272,6.8,Good
273,3.8,Bad
274,7.1,Good
275,7.2,Good
276,5.9,Fair
277,7.1,Good
278,8.1,Excellent
279,7.2,Good
280,6.9,Good
281,4.4,Fair
282,6.5,Good
283,8.5,Excellent
284,7.7,Good
285,7.4,Good
286,8,Good
287,5.7,Fair
288,8.5,Excellent
289,7,Good
290,7.8,Good
291,7.2,Good
292,6.4,Good
293,5.5,Fair
294,6.7,Good
295,6.1,Good
296,8.5,Excellent
297,6.9,Good
298,7.3,Good
299,6.7,Good
300,6.9,Good
301,5.1,Fair
302,6.8,Good
303,5.8,Fair
304,6.7,Good
305,6,Fair
306,5.7,Fair
307,8,Good
308,8.2,Excellent
309,5.4,Fair
310,7.2,Good
311,7.5,Good
312,7,Good
313,3.3,Bad
314,6,Fair
315,7.1,Good
316,5.4,Fair
317,6.1,Good
318,5.3,Fair
319,2.2,Bad
320,7,Good
321,3.8,Bad
322,6.9,Good
323,7.2,Good
324,7.3,Good
325,6.3,Good
326,7.5,Good
327,7.6,Good
328,6.8,Good
329,5.2,Fair
330,7.7,Good
331,6.2,Good
332,7.7,Good
333,4.3,Fair
334,6.9,Good
335,6.6,Good
336,7,Good
337,6.7,Good
338,8.2,Excellent
339,8.9,Excellent
340,8.7,Excellent
341,5.5,Fair
342,5.7,Fair
343,6.3,Good
344,5.9,Fair
345,7.6,Good
346,6.6,Good
347,5.3,Fair
348,6,Fair
349,8,Good
350,5.6,Fair
351,5.9,Fair
352,7.3,Good
353,7.9,Good
354,6.8,Good
355,6.6,Good
356,6.6,Good
357,7,Good
358,7,Good
359,7.3,Good
360,5.5,Fair
361,8.5,Excellent
362,7.5,Good
363,7,Good
364,7.8,Good
365,7.6,Good
366,7.6,Good
367,6.1,Good
368,6.8,Good
369,5,Fair
370,7.1,Good
371,5.5,Fair
372,5.6,Fair
373,7.1,Good
374,4.9,Fair
375,7.4,Good
376,5.7,Fair
377,6.4,Good
378,5.9,Fair
379,5.5,Fair
380,6.9,Good
381,6.2,Good
382,7,Good
383,5.6,Fair
384,7,Good
385,6.8,Good
386,5.4,Fair
387,6.1,Good
388,6.7,Good
389,4.3,Fair
390,6.9,Good
391,8,Good
392,4.4,Fair
393,7.3,Good
394,6.3,Good
395,6.7,Good
396,7.7,Good
397,6.5,Good
398,7.8,Good
399,6.4,Good
400,7.8,Good
401,5.8,Fair
402,7.1,Good
403,7.1,Good
404,8.6,Excellent
405,6.8,Good
406,4.8,Fair
407,6.2,Good
408,6.9,Good
409,7.3,Good
410,6.6,Good
411,6.9,Good
412,6.2,Good
413,6.7,Good
414,7.6,Good
415,6.7,Good
416,6.2,Good
417,7.3,Good
418,6,Fair
419,7.1,Good
420,7.1,Good
421,5.5,Fair
422,7.8,Good
423,5.6,Fair
424,7.5,Good
425,5.4,Fair
426,4.3,Fair
427,4.9,Fair
428,7.1,Good
429,6.4,Good
430,6.9,Good
431,4.3,Fair
432,6.1,Good
433,7,Good
434,7.7,Good
435,5.9,Fair
436,6.7,Good
437,6.5,Good
438,7.1,Good
439,7.3,Good
440,6.5,Good
441,7,Good
442,6.8,Good
443,7.2,Good
444,6.4,Good
445,6.1,Good
446,6.7,Good
447,6.4,Good
448,4.4,Fair
449,5.4,Fair
450,6.5,Good
451,6.7,Good
452,8.1,Excellent
453,5.6,Fair
454,6.3,Good
455,7.3,Good
456,6.1,Good
457,7.7,Good
458,6.4,Good
459,8.8,Excellent
460,6.8,Good
461,6.6,Good
462,7.2,Good
463,6.9,Good
464,5.2,Fair
465,4.9,Fair
466,6.3,Good
467,5.6,Fair
468,5.5,Fair
469,6.7,Good
470,7.6,Good
471,5.7,Fair
472,4.6,Fair
473,7,Good
474,5.2,Fair
475,5.1,Fair
476,6.6,Good
477,7,Good
478,6.7,Good
479,7.6,Good
480,7.3,Good
481,5.9,Fair
482,5.6,Fair
483,6.5,Good
484,5.9,Fair
485,7,Good
486,5.3,Fair
487,5.9,Fair
488,6.3,Good
489,6.4,Good
490,6.9,Good
491,6.3,Good
492,7.3,Good
493,5.8,Fair
494,5.2,Fair
495,2.4,Bad
496,5.7,Fair
497,5.8,Fair
498,5.6,Fair
499,6,Fair
500,5.8,Fair
501,6,Fair
502,5.7,Fair
503,6,Fair
504,7.8,Good
505,4.2,Fair
506,5.6,Fair
507,4.4,Fair
508,8.2,Excellent
509,8.5,Excellent
510,5.8,Fair
511,6.5,Good
512,7.2,Good
513,6.7,Good
514,3.4,Bad
515,5.9,Fair
516,7.8,Good
517,5.9,Fair
518,4.1,Fair
519,6.8,Good
520,5.8,Fair
521,7.5,Good
522,6.9,Good
523,6.5,Good
524,6.9,Good
525,7.9,Good
526,7.4,Good
527,6.7,Good
528,7.4,Good
529,6.9,Good
530,6.8,Good
531,6.7,Good
532,5.1,Fair
533,4.1,Fair
534,7.3,Good
535,6,Fair
536,7.3,Good
537,7.5,Good
538,5.4,Fair
539,5.9,Fair
540,7.1,Good
541,6,Fair
542,6.5,Good
543,8.3,Excellent
544,5.7,Fair
545,7.6,Good
546,6.6,Good
547,5.4,Fair
548,7.3,Good
549,6.5,Good
550,6.6,Good
551,6.6,Good
552,5.9,Fair
553,6.7,Good
554,6.1,Good
555,6.6,Good
556,6.6,Good
557,5.3,Fair
558,6,Fair
559,6,Fair
560,4.7,Fair
561,6.1,Good
562,7.2,Good
563,6.4,Good
564,6.1,Good
565,5.9,Fair
566,6,Fair
567,6.3,Good
568,5.6,Fair
569,6.4,Good
570,7.1,Good
571,6.6,Good
572,4.6,Fair
573,8.4,Excellent
574,7.1,Good
575,7.4,Good
576,6.9,Good
577,4.5,Fair
578,7.1,Good
579,6.5,Good
580,5.3,Fair
581,6.7,Good
582,7.2,Good
583,7.2,Good
584,5.5,Fair
585,5.8,Fair
586,6,Fair
587,6.6,Good
588,8.3,Excellent
589,6.7,Good
590,6,Fair
591,7.1,Good
592,6,Fair
593,7.5,Good
594,6.9,Good
595,5.6,Fair
596,5.6,Fair
597,4.5,Fair
598,7.1,Good
599,6.5,Good
600,6.4,Good
601,5.8,Fair
602,8,Good
603,6.2,Good
604,7.2,Good
605,6.1,Good
606,7.6,Good
607,6.3,Good
608,6.3,Good
609,6.3,Good
610,7.7,Good
611,7,Good
612,5.3,Fair
613,5.6,Fair
614,5.2,Fair
615,5.4,Fair
616,6.4,Good
617,5.9,Fair
618,6.3,Good
619,6.5,Good
620,3,Bad
621,3.6,Bad
622,5.8,Fair
623,6.2,Good
624,5.6,Fair
625,5.4,Fair
626,6.1,Good
627,4.2,Fair
628,6.7,Good
629,4.2,Fair
630,6.4,Good
631,4.9,Fair
632,6.8,Good
633,7.7,Good
634,5.6,Fair
635,6.4,Good
636,7.2,Good
637,6,Fair
638,5.9,Fair
639,7.9,Good
640,6.8,Good
641,7.1,Good
642,5.9,Fair
643,5.9,Fair
644,6.2,Good
645,7.4,Good
646,7,Good
647,5.4,Fair
648,8.6,Excellent
649,6.5,Good
650,6.4,Good
651,7.6,Good
652,5.5,Fair
653,7.4,Good
654,8.7,Excellent
655,7.6,Good
656,7.5,Good
657,5.5,Fair
658,7.6,Good
659,6.5,Good
660,6.9,Good
661,6.7,Good
662,6.6,Good
663,7.2,Good
664,6.4,Good
665,6.4,Good
666,6,Fair
667,6.1,Good
668,6,Fair
669,6.4,Good
670,6.4,Good
671,7.3,Good
672,5.2,Fair
673,6.6,Good
674,6.3,Good
675,5.9,Fair
676,6.4,Good
677,6.7,Good
678,5.4,Fair
679,6.4,Good
680,6.7,Good
681,6.2,Good
682,6.1,Good
683,8.8,Excellent
684,7.1,Good
685,8.1,Excellent
686,5.7,Fair
687,5,Fair
688,5.1,Fair
689,6.9,Good
690,4.8,Fair
691,6.5,Good
692,5.1,Fair
693,7.1,Good
694,7.5,Good
695,6.2,Good
696,6.3,Good
697,8.1,Excellent
698,6.6,Good
699,6.9,Good
700,6.1,Good
701,4.3,Fair
702,6.6,Good
703,6.8,Good
704,3.8,Bad
705,5.9,Fair
706,7.9,Good
707,6.3,Good
708,5.5,Fair
709,7.7,Good
710,6.3,Good
711,7.1,Good
712,8.5,Excellent
713,5.9,Fair
714,5.8,Fair
715,8.1,Excellent
716,7.9,Good
717,7.2,Good
718,6.3,Good
719,8.1,Excellent
720,7,Good
721,5.5,Fair
722,6.7,Good
723,5.2,Fair
724,7,Good
725,6.1,Good
726,6.6,Good
727,5.5,Fair
728,5.9,Fair
729,5.4,Fair
730,6.4,Good
731,5.7,Fair
732,6.7,Good
733,7.1,Good
734,6.8,Good
735,6.5,Good
736,7.6,Good
737,5.5,Fair
738,6.5,Good
739,7,Good
740,5.8,Fair
741,7.3,Good
742,6.6,Good
743,4.4,Fair
744,7.7,Good
745,5,Fair
746,7.7,Good
747,4.4,Fair
748,6.1,Good
749,5.4,Fair
750,6.8,Good
751,6.5,Good
752,7,Good
753,6.3,Good
754,6.3,Good
755,6.1,Good
756,6.1,Good
757,7.3,Good
758,5.3,Fair
759,5.4,Fair
760,6.2,Good
761,6.6,Good
762,5.9,Fair
763,6.3,Good
764,7.2,Good
765,6.8,Good
766,6.1,Good
767,7.8,Good
768,5,Fair
769,6.2,Good
770,6.7,Good
771,4.9,Fair
772,7.4,Good
773,7.1,Good
774,6.2,Good
775,4.9,Fair
776,6.1,Good
777,6.1,Good
778,6.4,Good
779,6.3,Good
780,6.8,Good
781,6.6,Good
782,5.7,Fair
783,5.9,Fair
784,6,Fair
785,6.1,Good
786,6.7,Good
787,6.7,Good
788,7.9,Good
789,5,Fair
790,4.3,Fair
791,5.7,Fair
792,6.7,Good
793,6.7,Good
794,8.1,Excellent
795,6.1,Good
796,5.6,Fair
797,6.6,Good
798,6.9,Good
799,4.8,Fair
800,6.2,Good
801,6,Fair
802,4.9,Fair
803,5.6,Fair
804,6.1,Good
805,6.1,Good
806,4.8,Fair
807,5.5,Fair
808,3.8,Bad
809,6.5,Good
810,6,Fair
811,6.7,Good
812,8.1,Excellent
813,4.9,Fair
814,7.3,Good
815,6.4,Good
816,6.6,Good
817,6.7,Good
818,3.6,Bad
819,5.7,Fair
820,6,Fair
821,4.9,Fair
822,4.7,Fair
823,6.3,Good
824,5.9,Fair
825,5.9,Fair
826,7,Good
827,7.5,Good
828,5.6,Fair
829,6.4,Good
830,6.3,Good
831,4.3,Fair
832,5.9,Fair
833,6.7,Good
834,5.5,Fair
835,6.2,Good
836,8.8,Excellent
837,5.2,Fair
838,7,Good
839,6.6,Good
840,7.3,Good
841,5.6,Fair
842,6.6,Good
843,5.4,Fair
844,6.3,Good
845,7.9,Good
846,6.3,Good
847,6,Fair
848,7.2,Good
849,5.1,Fair
850,7.3,Good
851,8,Good
852,6.2,Good
853,6,Fair
854,6.7,Good
855,8.1,Excellent
856,6.4,Good
857,8.4,Excellent
858,8,Good
859,6.3,Good
860,6.4,Good
861,6.6,Good
862,6.4,Good
863,6,Fair
864,6.6,Good
865,5.9,Fair
866,6.4,Good
867,6.3,Good
868,7.3,Good
869,6.8,Good
870,7.2,Good
871,5.7,Fair
872,6,Fair
873,6.5,Good
874,5.8,Fair
875,5.8,Fair
876,6.7,Good
877,7.8,Good
878,5.6,Fair
879,5.8,Fair
880,7.4,Good
881,6.9,Good
882,5.5,Fair
883,6.3,Good
884,4.7,Fair
885,5.6,Fair
886,6.4,Good
887,4.2,Fair
888,6.4,Good
889,7.7,Good
890,7.7,Good
891,5.3,Fair
892,6.7,Good
893,7.7,Good
894,5.7,Fair
895,7.6,Good
896,6.4,Good
897,5.6,Fair
898,6.8,Good
899,2.4,Bad
900,6.2,Good
901,5.9,Fair
902,7.1,Good
903,7.6,Good
904,5.5,Fair
905,7,Good
906,7.1,Good
907,7.4,Good
908,7.6,Good
909,5.9,Fair
910,5.9,Fair
911,8,Good
912,7.4,Good
913,5.8,Fair
914,6.3,Good
915,5.7,Fair
916,5.1,Fair
917,7.6,Good
918,6.4,Good
919,7.4,Good
920,8.2,Excellent
921,6.5,Good
922,5.5,Fair
923,6.5,Good
924,5.6,Fair
925,4.9,Fair
926,4.6,Fair
927,7.9,Good
928,7.1,Good
929,6.9,Good
930,7.3,Good
931,7,Good
932,7.7,Good
933,6.7,Good
934,6.3,Good
935,5.8,Fair
936,7.1,Good
937,7.3,Good
938,6.4,Good
939,7.1,Good
940,7.6,Good
941,6.8,Good
942,6.6,Good
943,6.7,Good
944,6.1,Good
945,6,Fair
946,7.6,Good
947,7.1,Good
948,5,Fair
949,7.1,Good
950,6.2,Good
951,5.6,Fair
952,5.4,Fair
953,7.4,Good
954,5,Fair
955,5.2,Fair
956,7.6,Good
957,6.6,Good
958,7,Good
959,5.7,Fair
960,8.2,Excellent
961,6.2,Good
962,7.9,Good
963,6.6,Good
964,4.7,Fair
965,6.3,Good
966,6.1,Good
967,6.7,Good
968,6.1,Good
969,7,Good
970,7.4,Good
971,7.3,Good
972,5.8,Fair
973,6.7,Good
974,5.8,Fair
975,7.8,Good
976,6.6,Good
977,6.5,Good
978,6.7,Good
979,7.3,Good
980,5.8,Fair
981,5.5,Fair
982,6.3,Good
983,7.4,Good
984,5.9,Fair
985,6.2,Good
986,5.9,Fair
987,6.5,Good
988,4.4,Fair
989,3.5,Bad
990,6.6,Good
991,6,Fair
992,6.4,Good
993,6.5,Good
994,7.8,Good
995,4.3,Fair
996,4.2,Fair
997,6.5,Good
998,6.1,Good
999,6.3,Good
1000,6.2,Good
1001,5.9,Fair
1002,5.9,Fair
1003,6.5,Good
1004,6.4,Good
1005,6.5,Good
1006,5.7,Fair
1007,7.5,Good
1008,8,Good
1009,7.3,Good
1010,6.7,Good
1011,7.5,Good
1012,5.4,Fair
1013,6.6,Good
1014,7.7,Good
1015,5.8,Fair
1016,6.4,Good
1017,5.6,Fair
1018,6,Fair
1019,6.2,Good
1020,5.9,Fair
1021,5.1,Fair
1022,6.8,Good
1023,7,Good
1024,6,Fair
1025,5.1,Fair
1026,5.8,Fair
1027,6.2,Good
1028,6.4,Good
1029,4.8,Fair
1030,4.9,Fair
1031,5.6,Fair
1032,5.5,Fair
1033,3.7,Bad
1034,5.9,Fair
1035,8.5,Excellent
1036,6.3,Good
1037,7.4,Good
1038,7.6,Good
1039,8.3,Excellent
1040,6.6,Good
1041,6.9,Good
1042,6.7,Good
1043,6.8,Good
1044,4.6,Fair
1045,7.1,Good
1046,6.4,Good
1047,6.4,Good
1048,7.4,Good
1049,6.4,Good
1050,6,Fair
1051,6.5,Good
1052,7.8,Good
1053,6,Fair
1054,7,Good
1055,6,Fair
1056,7.8,Good
1057,6.1,Good
1058,6.8,Good
1059,6.4,Good
1060,7.7,Good
1061,8.1,Excellent
1062,4.5,Fair
1063,5.8,Fair
1064,6.3,Good
1065,5.7,Fair
1066,7.2,Good
1067,7.6,Good
1068,4.7,Fair
1069,6.6,Good
1070,6.8,Good
1071,7.3,Good
1072,2.7,Bad
1073,4.8,Fair
1074,6.3,Good
1075,5.5,Fair
1076,6.2,Good
1077,5.8,Fair
1078,5.7,Fair
1079,6.5,Good
1080,6.7,Good
1081,7.4,Good
1082,6.9,Good
1083,5.5,Fair
1084,8.1,Excellent
1085,7.7,Good
1086,7.3,Good
1087,5.2,Fair
1088,7.1,Good
1089,7.1,Good
1090,7.2,Good
1091,6.5,Good
1092,4.6,Fair
1093,5.6,Fair
1094,7.7,Good
1095,7.2,Good
1096,6.8,Good
1097,5.4,Fair
1098,6.3,Good
1099,7.2,Good
1100,5.6,Fair
1101,6.8,Good
1102,4.3,Fair
1103,6.3,Good
1104,6.5,Good
1105,6.4,Good
1106,6.3,Good
1107,5.9,Fair
1108,6.5,Good
1109,6.5,Good
1110,6.1,Good
1111,5.9,Fair
1112,6.6,Good
1113,7.4,Good
1114,7.3,Good
1115,6.6,Good
1116,5.6,Fair
1117,5.3,Fair
1118,6,Fair
1119,5.4,Fair
1120,6.8,Good
1121,6.4,Good
1122,7.1,Good
1123,4.9,Fair
1124,5.8,Fair
1125,7.1,Good
1126,7.2,Good
1127,6,Fair
1128,6,Fair
1129,7,Good
1130,5.4,Fair
1131,6.5,Good
1132,6.4,Good
1133,8.3,Excellent
1134,4.9,Fair
1135,6.3,Good
1136,1.7,Bad
1137,7.7,Good
1138,7.8,Good
1139,5.5,Fair
1140,7.5,Good
1141,6.4,Good
1142,5.6,Fair
1143,7.5,Good
1144,6.8,Good
1145,6.8,Good
1146,6,Fair
1147,7.3,Good
1148,6,Fair
1149,7,Good
1150,5.1,Fair
1151,6.8,Good
1152,6.5,Good
1153,6.6,Good
1154,7.2,Good
1155,7,Good
1156,7,Good
1157,5.9,Fair
1158,5.4,Fair
1159,6.6,Good
1160,7,Good
1161,6.5,Good
1162,6.3,Good
1163,6.5,Good
1164,6.5,Good
1165,5.8,Fair
1166,6.6,Good
1167,5.4,Fair
1168,6.1,Good
1169,4,Bad
1170,7.6,Good
1171,7.9,Good
1172,5.3,Fair
1173,6.6,Good
1174,6.3,Good
1175,7.5,Good
1176,7.2,Good
1177,7,Good
1178,4.9,Fair
1179,6.9,Good
1180,5.2,Fair
1181,8.1,Excellent
1182,6.6,Good
1183,6.2,Good
1184,7.2,Good
1185,7.3,Good
1186,6.7,Good
1187,6.4,Good
1188,7.8,Good
1189,6.4,Good
1190,4.1,Fair
1191,4.1,Fair
1192,7.4,Good
1193,5.8,Fair
1194,7.6,Good
1195,7.2,Good
1196,7.8,Good
1197,7.7,Good
1198,6.4,Good
1199,5.1,Fair
1200,5.5,Fair
1201,7.4,Good
1202,6,Fair
1203,7.5,Good
1204,7,Good
1205,7.5,Good
1206,7.3,Good
1207,5.7,Fair
1208,7.3,Good
1209,7.2,Good
1210,5.9,Fair
1211,7.8,Good
1212,7.7,Good
1213,8.1,Excellent
1214,6.6,Good
1215,7.1,Good
1216,5.9,Fair
1217,8,Good
1218,4.6,Fair
1219,6.1,Good
1220,7.2,Good
1221,6.4,Good
1222,6,Fair
1223,5.2,Fair
1224,7.6,Good
1225,6.4,Good
1226,6.4,Good
1227,6.1,Good
1228,6.1,Good
1229,5.2,Fair
1230,7.7,Good
1231,7.3,Good
1232,6.9,Good
1233,8.5,Excellent
1234,6.3,Good
1235,5.9,Fair
1236,7.8,Good
1237,6.7,Good
1238,6.4,Good
1239,5.9,Fair
1240,6.6,Good
1241,6.8,Good
1242,6.5,Good
1243,6.6,Good
1244,5.8,Fair
1245,6.9,Good
1246,7.1,Good
1247,5.8,Fair
1248,7.2,Good
1249,6,Fair
1250,4.7,Fair
1251,5.2,Fair
1252,5.5,Fair
1253,6.5,Good
1254,7,Good
1255,5.8,Fair
1256,6.2,Good
1257,6.5,Good
1258,7.2,Good
1259,5.1,Fair
1260,4.7,Fair
1261,5.9,Fair
1262,5.8,Fair
1263,7.2,Good
1264,6.2,Good
1265,7.4,Good
1266,5.7,Fair
1267,6.1,Good
1268,6,Fair
1269,6.9,Good
1270,6.5,Good
1271,5,Fair
1272,5.7,Fair
1273,7,Good
1274,5.1,Fair
1275,5.3,Fair
1276,4.4,Fair
1277,4.7,Fair
1278,6.7,Good
1279,6.7,Good
1280,5.7,Fair
1281,7.4,Good
1282,6.1,Good
1283,6.4,Good
1284,6.2,Good
1285,6.2,Good
1286,5.9,Fair
1287,4,Bad
1288,6.2,Good
1289,4.6,Fair
1290,6.4,Good
1291,5.9,Fair
1292,5.1,Fair
1293,7.6,Good
1294,4.2,Fair
1295,7.8,Good
1296,5.8,Fair
1297,5.9,Fair
1298,8.4,Excellent
1299,4.8,Fair
1300,6.2,Good
1301,6.5,Good
1302,6.3,Good
1303,3.3,Bad
1304,5.9,Fair
1305,6,Fair
1306,5.8,Fair
1307,6.5,Good
1308,4.7,Fair
1309,4.1,Fair
1310,6.8,Good
1311,6.2,Good
1312,4.5,Fair
1313,5.8,Fair
1314,7.3,Good
1315,5.9,Fair
1316,4.4,Fair
1317,5.8,Fair
1318,5.1,Fair
1319,6.9,Good
1320,6.2,Good
1321,6.9,Good
1322,7.3,Good
1323,7.1,Good
1324,6,Fair
1325,7,Good
1326,6.8,Good
1327,5.7,Fair
1328,7.6,Good
1329,8.4,Excellent
1330,7.1,Good
1331,5.6,Fair
1332,6.7,Good
1333,7,Good
1334,8,Good
1335,5.3,Fair
1336,4.9,Fair
1337,6.4,Good
1338,7.4,Good
1339,6.1,Good
1340,6.5,Good
1341,5.7,Fair
1342,5.1,Fair
1343,6.6,Good
1344,6.5,Good
1345,6.9,Good
1346,7.8,Good
1347,6.4,Good
1348,7.6,Good
1349,5.6,Fair
1350,6.2,Good
1351,4.4,Fair
1352,5.6,Fair
1353,5.5,Fair
1354,6.7,Good
1355,6.1,Good
1356,6.2,Good
1357,7.3,Good
1358,6.6,Good
1359,8.2,Excellent
1360,6.4,Good
1361,6.4,Good
1362,5.2,Fair
1363,6.5,Good
1364,7.1,Good
1365,4.8,Fair
1366,7.3,Good
1367,5.2,Fair
1368,7.7,Good
1369,7.6,Good
1370,5.7,Fair
1371,7,Good
1372,6,Fair
1373,8.1,Excellent
1374,8,Good
1375,5.6,Fair
1376,6.1,Good
1377,6.9,Good
1378,5.2,Fair
1379,7,Good
1380,6.3,Good
1381,7,Good
1382,5.3,Fair
1383,6.9,Good
1384,6.2,Good
1385,6.4,Good
1386,6.4,Good
1387,5.7,Fair
1388,6.1,Good
1389,5.4,Fair
1390,6.7,Good
1391,6.8,Good
1392,6,Fair
1393,7.8,Good
1394,5.3,Fair
1395,4.5,Fair
1396,5.4,Fair
1397,7.8,Good
1398,7.2,Good
1399,6.6,Good
1400,7.6,Good
1401,5.9,Fair
1402,6.7,Good
1403,7.7,Good
1404,5.8,Fair
1405,5.4,Fair
1406,6.9,Good
1407,7.7,Good
1408,6.8,Good
1409,6.4,Good
1410,5.7,Fair
1411,7.3,Good
1412,6.8,Good
1413,6.3,Good
1414,5.9,Fair
1415,7.4,Good
1416,8.3,Excellent
1417,6.2,Good
1418,6.3,Good
1419,5.8,Fair
1420,7.5,Good
1421,6.3,Good
1422,6.4,Good
1423,7.2,Good
1424,6.3,Good
1425,6.9,Good
1426,6.6,Good
1427,6,Fair
1428,7.5,Good
1429,7.7,Good
1430,6.2,Good
1431,5.4,Fair
1432,6.6,Good
1433,5.3,Fair
1434,5.6,Fair
1435,5.9,Fair
1436,7.8,Good
1437,6.7,Good
1438,7.4,Good
1439,6.2,Good
1440,5.4,Fair
1441,6.7,Good
1442,5.3,Fair
1443,5.9,Fair
1444,7,Good
1445,4.8,Fair
1446,7.3,Good
1447,3.8,Bad
1448,8.5,Excellent
1449,6.8,Good
1450,6.8,Good
1451,5.3,Fair
1452,7.3,Good
1453,6.6,Good
1454,6.2,Good
1455,5.2,Fair
1456,6.2,Good
1457,6.2,Good
1458,6.6,Good
1459,6.4,Good
1460,6.2,Good
1461,5.1,Fair
1462,6.6,Good
